text,action,category
Feedback: They couldn't find my booking in the system.,Review Check-in Process,Services
Feedback: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
Lizard on the ceiling.,Pest Control Investigation,Rooms
"Honestly, concierge was unable to give simple directions.",Staff Communication Training,Services
called reception but no one answered the phone.,Staff Communication Training,Services
Action needed: No water or towels available in the gym.,Update Gym Equipment,Recreation
Feedback: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Not happy.  Filtration system was making a loud noise.,Pool Maintenance,Recreation
"Honestly, bellboy didn't explain how to use the key card.",Staff Communication Training,Services
Lobby is chaotic and disorganized. Terrible.,Review Check-in Process,Services
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms
Not happy. Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Not happy. Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Not happy. Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
Not happy. The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
"We waited 2 hours for our food, this is unacceptable. Terrible.",Compensate Guest,Food
Not happy. Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Not happy. Employee was on their phone ignoring guests.,Disciplinary Action,Services
check-in line was huge and only one counter open.,Review Check-in Process,Services
Not happy. WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
Action needed: Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Service in the restaurant was incredibly slow.,Staff Training (Food),Food
"key cards didn't work, had to go back down.",Review Check-in Process,Services
Not happy. Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
it took 45 minutes just to check in.,Review Check-in Process,Services
unprofessional behavior from the night manager.,Disciplinary Action,Services
Not happy. I found a hair in my food.,Inspect Kitchen Hygiene,Food
"Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
Review: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
Action needed: Called reception but no one answered the phone.,Staff Communication Training,Services
staff member laughed at my complaint.,Disciplinary Action,Services
Action needed: The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
"Honestly, the menu options are very limited and boring.",Revise Menu Quality,Food
Action needed: The presentation of the dishes was poor.,Revise Menu Quality,Food
Review: The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
The steak was tough and flavorless.,Revise Menu Quality,Food
Pool attendant refused to give me a towel. Terrible.,Recreation Staff Review,Recreation
Review: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
"Staff speaks very poor English, hard to communicate. Terrible.",Staff Communication Training,Services
Not happy. The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
"Honestly, conflicting information from different staff members.",Staff Communication Training,Services
housekeeper stole money from my wallet.,Disciplinary Action,Services
 Filtration system was making a loud noise.,Pool Maintenance,Recreation
"Honestly, found trash from previous guests in the drawer.",Deep Clean & Maintenance,Rooms
Action needed: Check-in line was huge and only one counter open.,Review Check-in Process,Services
"Honestly, beach staff demanded tips for chairs.",Recreation Staff Review,Recreation
Not happy. No one came to clear our table for 30 minutes.,Staff Training (Food),Food
They lost our reservation even though we booked weeks ago. Terrible.,Compensate Guest,Food
The concierge made a rude comment about my appearance.,Disciplinary Action,Services
"Honestly, the presentation of the dishes was poor.",Revise Menu Quality,Food
Not happy. Water looked stagnant and dirty.,Pool Maintenance,Recreation
pool ladders are loose and dangerous.,Pool Maintenance,Recreation
Review: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
"Honestly, check-in line was huge and only one counter open.",Review Check-in Process,Services
the pasta was overcooked and mushy.,Revise Menu Quality,Food
not enough weights for a proper workout.,Update Gym Equipment,Recreation
Action needed: Asked for no onions but got onions anyway.,Staff Training (Food),Food
"Key cards didn't work, had to go back down.",Review Check-in Process,Services
the presentation of the dishes was poor.,Revise Menu Quality,Food
Review: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Feedback: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
Feedback: Concierge was unable to give simple directions.,Staff Communication Training,Services
 Filtration system was making a loud noise. Terrible.,Pool Maintenance,Recreation
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Action needed: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Not happy. Debris and leaves floating in the water.,Pool Maintenance,Recreation
The pillows are lumpy and uncomfortable. Terrible.,Upgrade Room Amenities,Rooms
Review: No one came to clear our table for 30 minutes.,Staff Training (Food),Food
Review: The presentation of the dishes was poor.,Revise Menu Quality,Food
Bike seat is broken.,Update Gym Equipment,Recreation
Action needed: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Review: No water or towels available in the gym.,Update Gym Equipment,Recreation
Our anniversary dinner was ruined by the terrible service. Terrible.,Compensate Guest,Food
Action needed: Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
"Honestly, the menu options are very limited and boring.",Revise Menu Quality,Food
Review: Bike seat is broken.,Update Gym Equipment,Recreation
"Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Feedback: Lizard on the ceiling.,Pest Control Investigation,Rooms
"Honestly, restaurant manager was shouting at the staff.",Staff Training (Food),Food
Action needed: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
Not happy. Bike seat is broken.,Update Gym Equipment,Recreation
Feedback: The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Unprofessional behavior from the night manager. Terrible.,Disciplinary Action,Services
Review: The menu options are very limited and boring.,Revise Menu Quality,Food
Feedback: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
misunderstanding about the room rate caused issues.,Staff Communication Training,Services
"Honestly, no supervision in the children's play area.",Recreation Staff Review,Recreation
"Honestly, they lost our reservation even though we booked weeks ago.",Compensate Guest,Food
"Honestly, misunderstanding about the room rate caused issues.",Staff Communication Training,Services
No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
The TV is tiny and has no channels. Terrible.,Upgrade Room Amenities,Rooms
"Honestly, misunderstanding about the room rate caused issues.",Staff Communication Training,Services
Not happy. Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
Action needed: Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
"Honestly, there was a strange object in the soup.",Inspect Kitchen Hygiene,Food
they charged us for items we didn't order.,Compensate Guest,Food
Review: Called reception but no one answered the phone.,Staff Communication Training,Services
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Not happy. The pool water was cloudy and green.,Pool Maintenance,Recreation
bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
Not happy. Water looked stagnant and dirty.,Pool Maintenance,Recreation
"Honestly, the pasta was overcooked and mushy.",Revise Menu Quality,Food
Review: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Review: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Feedback: Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
Review: Cockroach in the shower.,Pest Control Investigation,Rooms
"Honestly, elliptical machine makes a squeaking sound.",Update Gym Equipment,Recreation
Action needed:  Filtration system was making a loud noise.,Pool Maintenance,Recreation
"Worst dining experience ever, I expect compensation.",Compensate Guest,Food
bellboy didn't explain how to use the key card.,Staff Communication Training,Services
"Honestly, mosquitoes in the room kept me up all night.",Pest Control Investigation,Rooms
Not happy. Employee was on their phone ignoring guests.,Disciplinary Action,Services
the server was rude when i asked for water.,Staff Training (Food),Food
Review: Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
staff member was smoking right outside the lobby door.,Disciplinary Action,Services
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Pool shower wasn't working. Terrible.,Pool Maintenance,Recreation
Review: Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Action needed: The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
Not happy. Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Review: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
"Honestly, not enough weights for a proper workout.",Update Gym Equipment,Recreation
Action needed: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Not happy. Staff got my order wrong three times.,Staff Training (Food),Food
"Not happy. Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Action needed: Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
cockroach in the shower.,Pest Control Investigation,Rooms
Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
